employee_id,full_name,role,city,department_id,is_payroll,employee_status,hire_date
3,Angie Henderson,Civil Engineer,New York,1,True,terminated,2015-11-19
4,Daniel Wagner,Data Analyst,New York,3,True,active,2020-02-01
5,Cristian Santos,HR Analyst,New York,3,True,active,2022-09-19
6,Connie Lawrence,Civil Engineer,Istanbul,1,False,terminated,2020-08-06
7,Abigail Shaffer,HR Analyst,Dubai,2,True,terminated,2020-09-18
8,Gina Moore,Data Analyst,Moscow,1,False,terminated,2024-08-26
9,Gabrielle Davis,Data Analyst,Dubai,5,True,active,2020-08-12
10,Ryan Munoz,HR Analyst,Berlin,3,True,active,2024-01-18
11,Monica Herrera,Civil Engineer,Istanbul,2,False,active,2019-09-30
13,Lisa Hensley,Civil Engineer,Moscow,2,True,active,2021-06-18
14,Michele Williams,Civil Engineer,Istanbul,4,True,terminated,2016-02-08
15,Dylan Miller,HR Analyst,London,1,True,terminated,2024-08-29
16,Brian Ramirez,Civil Engineer,Moscow,5,True,active,2019-05-19
17,Holly Wood,HR Analyst,London,4,True,terminated,2021-07-20
19,Lisa Jackson,Project Manager,Berlin,4,True,terminated,2015-10-25
21,Margaret Hawkins DDS,Data Analyst,Berlin,5,False,active,2023-01-18
22,Patty Perez,Project Manager,Istanbul,5,True,active,2016-10-23
23,Ethan Adams,Civil Engineer,London,5,True,active,2023-12-05
24,Tommy Walter,Project Manager,New York,2,True,terminated,2016-12-26
25,Matthew Foster,Data Analyst,Moscow,3,True,terminated,2024-02-27
26,Judy Baker,Civil Engineer,New York,2,True,terminated,2022-08-15
27,Justin Baker,HR Analyst,New York,1,True,active,2016-04-18
28,Stephanie Ross,Data Analyst,Berlin,3,True,active,2024-07-05
29,Zachary Hicks,Data Analyst,Dubai,5,True,terminated,2023-05-23
30,Anthony Rodriguez,Project Manager,Berlin,4,True,active,2020-09-24
31,Rebecca Henderson,Accountant,Dubai,1,True,terminated,2015-04-11
34,Nathan Maldonado,HR Analyst,Berlin,5,True,terminated,2017-09-06
35,Debra Davidson,Project Manager,London,3,False,terminated,2019-08-27
36,Jeffrey Chavez,Civil Engineer,New York,4,True,terminated,2019-04-08
37,Sherri Baker,Software Engineer,Moscow,3,True,terminated,2023-02-14
38,Cassandra Gaines,Software Engineer,London,5,False,active,2018-08-31
39,Elizabeth Fowler,Civil Engineer,London,4,True,active,2023-06-17
41,Paula Moreno,Civil Engineer,Berlin,2,True,terminated,2022-09-29
42,Fred Smith,Accountant,Istanbul,3,True,terminated,2024-03-22
43,Sherry Decker,Data Analyst,Moscow,3,True,terminated,2020-06-03
44,Anthony Humphrey,Civil Engineer,London,3,True,terminated,2018-08-24
45,Angelica Tucker,Project Manager,London,3,False,terminated,2023-07-03
46,Philip Cannon,Civil Engineer,Dubai,4,True,terminated,2018-11-09
47,John Pierce,Project Manager,Dubai,3,False,terminated,2017-01-28
48,Shane Henderson,Civil Engineer,Istanbul,3,True,terminated,2015-08-12
49,Joshua Blair,Civil Engineer,New York,4,True,terminated,2024-03-21
51,Jessica Holmes,Software Engineer,Berlin,5,True,terminated,2023-07-22
53,Crystal Robinson,Project Manager,Dubai,1,False,active,2015-09-02
54,Mark Perez,Software Engineer,New York,5,True,terminated,2021-09-15
55,Shannon Jones,Civil Engineer,London,5,True,active,2020-04-11
56,Michael Lewis,Accountant,Dubai,3,True,terminated,2019-08-14
57,Timothy Duncan,Software Engineer,London,4,True,terminated,2022-05-17
58,Richard Aguirre,Accountant,London,1,True,terminated,2024-11-16
60,John Daniel,Software Engineer,Istanbul,3,True,terminated,2016-07-13
61,Victoria Garcia,Civil Engineer,New York,3,True,terminated,2018-09-23
62,Gerald Hensley,HR Analyst,Berlin,4,True,terminated,2019-04-11
64,Donald Wright,Data Analyst,London,3,True,terminated,2024-10-13
65,Jessica Callahan,Data Analyst,Moscow,1,True,active,2022-10-13
66,Amber Kidd,Project Manager,Moscow,3,False,terminated,2015-11-20
67,Tracy House,HR Analyst,London,4,True,terminated,2016-10-09
68,Carol Tucker,Data Analyst,London,5,True,terminated,2021-05-31
69,James Brown,Data Analyst,Berlin,3,True,terminated,2020-07-27
70,William Baker,Data Analyst,Istanbul,3,True,terminated,2022-01-14
71,Jordan Henderson,Accountant,Moscow,4,True,active,2024-10-29
72,Whitney Peters,Software Engineer,Berlin,2,True,terminated,2022-07-25
73,Brittney Phillips,Civil Engineer,Berlin,1,True,active,2019-03-02
74,Lauren Daniels,Accountant,Dubai,4,True,terminated,2019-07-31
75,Amy Silva,Software Engineer,Istanbul,1,True,active,2021-01-21
76,Sarah Moore,Software Engineer,Berlin,4,True,terminated,2022-09-09
77,Angela Lopez,Project Manager,Berlin,1,False,active,2018-09-28
79,Steve Sanchez,Civil Engineer,Istanbul,1,False,active,2015-09-18
80,Lisa Barnes,Software Engineer,London,5,True,active,2022-09-11
81,Kelly Donovan,Project Manager,London,1,False,active,2021-09-12
82,Mike Allen,Civil Engineer,New York,5,True,active,2016-01-25
83,Michael Evans,HR Analyst,London,3,True,active,2021-03-28
84,Paul Jones,Project Manager,Berlin,1,False,terminated,2016-09-25
85,Zachary Ferrell,Accountant,London,1,True,active,2021-11-18
86,Daniel Baker,Civil Engineer,Dubai,5,True,terminated,2022-05-16
