employee_id,full_name,role_raw,city_raw,department_raw,project_raw,is_payroll,employee_status,salary,hire_date,source_language
1,Allison Hill,HR Analyst,Dubai,unassigned,,True,active,67304.49,2017-08-10,tr
2,Noah Rhodes,data Analyst,unknown,it,,True,Active ,83330.07,2016-09-28,en
3,Angie Henderson,CIVIL ENGINEER,New York,H.R.,,True,TERMINATED,56738.02,2015-11-19,tr
4,Daniel Wagner,data analyst,NEW YORK,finance,,True,Active,89482.75,2020-02-01,tr
5,Cristian Santos,HR ANALYST,new york,FIN,,True,Active,51120.27,2022-09-19,tr
6,Connie Lawrence,CIVIL ENGINEER,ISTANBUL,human resources,,False,Terminated,91525.44,2020-08-06,ru
7,Abigail Shaffer,HR Analyst,"Dubai, UAE",ENG,,True,TERMINATED,67445.57,2020-09-18,ru
8,Gina Moore,Data Analyst,Moscow,human resources,,False,TERMINATED,68356.68,2024-08-26,en
9,Gabrielle Davis,DATA ANALYST,Dubai,I.T.,,True,ACTIVE,70880.33,2020-08-12,en
10,Ryan Munoz,HR ANALYST,Berlin,finance,,True,active,57215.14,2024-01-18,ru
11,Monica Herrera,civil Engineer,Istanbul,Engineering,,False,Active,74011.3,2019-09-30,en
12,Jamie Arnold,,berlin,Fin.,,True,TERMINATED,63676.7,2017-06-21,en
13,Lisa Hensley,CIVIL ENGINEER,Moscow,Engineering,,True,Active,74416.58,2021-06-18,ru
14,Michele Williams,civil engineer,Istambul,project management,,True,Terminated,73680.99,2016-02-08,en
15,Dylan Miller,HR Analyst,LONDON,human resources,,True,terminated,51963.63,2024-08-29,tr
16,Brian Ramirez,Civil Engineer,Moscow,IT,,True,Active ,63549.89,2019-05-19,ru
17,Holly Wood,HR Analyst,LONDON,PMO,,True,terminated,59479.51,2021-07-20,ru
18,Derek Zuniga,Civil Engineer,berlin,İnsan Kaynakları,,True,active,64408.16,2021-09-01,en
19,Lisa Jackson,project manager,Berlin,PM,,True,terminated,76543.91,2015-10-25,en
20,Carla Gray,HR ANALYST,London,İnsan Kaynakları,,True,ACTIVE,66981.76,2022-11-21,ru
